File,Protocol,Nodes,Sent,Received,PDR (%),Avg Delay (ms),Throughput (Kbps),Jitter (ms),Sim Time (s)
AODV_26.tr,AODV,26,2639,2550,96.63,262.9783,152.09,75.2917,40.55
AODV_50.tr,AODV,50,2714,2385,87.88,338.0675,65.62,206.6382,95.0
AODV_75.tr,AODV,75,4563,3975,87.11,192.8914,134.29,140.8791,75.0
AOMDV_26.tr,AOMDV,26,2907,2842,97.76,301.9177,170.73,121.2873,44.92
AOMDV_50.tr,AOMDV,50,3114,2832,90.94,280.5537,82.63,122.2079,95.0
AOMDV_75.tr,AOMDV,75,4448,4063,91.34,208.7882,148.49,123.2334,75.0
DSDV_26.tr,DSDV,26,2358,2344,99.41,163.6778,147.48,29.7636,49.91
DSDV_50.tr,DSDV,50,417,362,86.81,672.2351,10.18,917.9795,99.94
DSDV_75.tr,DSDV,75,2466,2361,95.74,193.0425,85.57,130.9153,99.97
DSR_26.tr,DSR,26,3385,3351,99.0,325.1627,196.69,295.7624,45.0
DSR_50.tr,DSR,50,2340,2293,97.99,747.4511,60.95,510.6371,95.0
DSR_75.tr,DSR,75,4613,4563,98.92,783.4732,151.39,725.8998,75.0
